epoch,time_seconds
1,19.64335322380066
2,21.10380458831787
3,20.28720474243164
4,20.432360887527466
5,21.359585523605347
6,20.05769944190979
7,19.996646881103516
8,21.248214960098267
9,19.1353120803833
10,19.672720193862915
11,20.92771887779236
12,19.584280729293823
13,19.64449119567871
14,20.320300340652466
15,19.6250216960907
16,20.802531003952026
17,19.218850135803223
18,19.9976224899292
19,20.8994619846344
20,21.810965299606323
21,21.46865487098694
22,19.651694536209106
23,19.97996187210083
24,21.103068590164185
25,19.787145614624023
26,19.002946615219116
27,19.870231866836548
28,19.31465744972229
29,18.82844066619873
30,20.48454761505127
31,20.618892431259155
32,18.494967937469482
33,20.919292449951172
34,20.92735242843628
35,21.3349711894989
36,21.26759171485901
37,19.87700390815735
38,18.736392974853516
39,20.073690176010132
40,20.985350608825684
41,19.966039180755615
42,20.25022530555725
43,22.166356801986694
44,19.726030826568604
45,18.72886300086975
46,18.518500566482544
47,21.498573780059814
48,20.689329624176025
49,18.93313956260681
50,19.828399658203125
51,20.20380473136902
52,20.465439796447754
53,19.88952922821045
54,21.69465398788452
55,18.590863943099976
56,18.462101459503174
57,20.829432010650635
58,19.52066659927368
59,20.815929174423218
60,19.403308153152466
61,19.728285789489746
62,19.53009009361267
63,18.999619245529175
64,19.442750692367554
65,18.48674702644348
66,18.76631760597229
67,18.949456453323364
68,19.81073546409607
69,19.73448085784912
70,19.483781099319458
71,19.70697021484375
72,19.619443893432617
73,18.59803605079651
74,19.97587561607361
75,18.810621976852417
76,17.96341633796692
77,19.182149171829224
78,20.524844646453857
79,20.288869857788086
80,18.898284673690796
81,19.452471494674683
82,19.181062698364258
83,20.2160587310791
84,18.267386198043823
85,19.591563940048218
86,19.688228368759155
87,19.883071422576904
88,18.59875726699829
89,18.79737091064453
90,18.007489442825317
91,19.136800289154053
92,18.620306253433228
93,19.352614641189575
94,20.00008463859558
95,21.251405715942383
96,20.11085033416748
97,18.89709997177124
98,21.250709056854248
99,18.991416215896606
100,19.750505447387695
